Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4362,986,3.011101801424382,68707.0,3.0,1
0.4224,322,0.7462686567164178,73971.0,4.0,1
0.4235,237,1.8854372418746632,77422.0,4.0,1
0.4171,1234,3.1677301731996352,64010.0,3.0,1
0.4206,482,2.6879162702188393,71344.0,3.0,1
0.4557,403,3.346613545816733,61563.0,2.0,0
0.3644,186,0.4319654427645789,65909.0,3.0,1
0.3551,490,9.290953545232274,102390.0,4.0,1
0.3543,495,1.7721518987341773,45417.0,1.0,0
0.4603,1090,8.553770086526576,58435.0,2.0,0
0.4196,1208,3.1724137931034484,59552.0,2.0,0
0.4053,720,3.9571694599627563,56895.0,2.0,0
0.4258,1504,5.158672656136791,58780.0,2.0,0
0.3756,1509,2.4284717376133984,70789.0,3.0,1
0.427,1458,6.796292931128475,42172.0,1.0,0
0.4258,3065,5.651817780858169,67453.0,3.0,1
0.428,1930,8.96079024291906,44944.0,1.0,0
0.409,2623,4.254402756508423,66510.0,3.0,1
0.4162,521,2.862335302135393,64278.0,3.0,1
0.4018,835,4.509754243729415,53030.0,1.0,0
0.4273,1817,4.437094358462307,65954.0,3.0,1
0.5131,1986,6.486439799619968,62784.0,3.0,1
0.4938,540,4.995458673932789,62461.0,3.0,1
0.411,1180,3.074670571010249,51603.0,1.0,0
0.459,546,3.6283185840707963,59750.0,2.0,0
0.4403,5611,5.319539462706491,57302.0,2.0,0
0.4233,774,2.584033613445378,58994.0,2.0,0
0.4321,1846,4.409672830725462,48277.0,1.0,0
0.3754,1113,3.7631027253668763,65990.0,3.0,1
0.4293,1977,4.866065419302733,52200.0,1.0,0
0.4056,1285,4.978776087725504,73295.0,4.0,1
0.4324,1050,6.298183718803084,58670.0,2.0,0
0.435,658,2.9320987654320985,52383.0,1.0,0
0.4779,3394,10.358460727464418,47607.0,1.0,0
0.4446,1877,2.8241335044929397,71487.0,4.0,1
0.4012,101,0.0,47143.0,1.0,0
0.4288,522,15.202369200394866,45208.0,1.0,0
0.4258,618,0.7921998781230957,67007.0,3.0,1
0.4289,455,1.8443378827001107,62760.0,3.0,1
0.4494,157,4.73186119873817,62202.0,3.0,1
0.5209,1224,7.468631746664012,48401.0,1.0,0
0.4237,236,2.2364217252396164,81023.0,4.0,1
0.4489,134,3.551912568306011,47750.0,1.0,0
0.4806,1992,4.994785027233747,58471.0,2.0,0
0.3948,1161,3.8874570446735395,79395.0,4.0,1
0.4061,668,4.845814977973569,80571.0,4.0,1
0.4779,1552,4.425465838509317,55691.0,2.0,0
0.412,376,3.3696729435084243,45729.0,1.0,0
0.4432,3530,3.270016830968983,61813.0,2.0,0
0.4513,527,2.8287061288632795,72417.0,4.0,1
0.5126,197,2.13089802130898,63750.0,3.0,1
0.4254,1038,13.44568602308115,52925.0,1.0,0
0.468,4981,6.063846036352528,57368.0,2.0,0
0.4103,3633,3.1156852820426297,79085.0,4.0,1
0.4544,563,6.909090909090909,62813.0,3.0,1
0.4586,4903,3.429302776216164,74693.0,4.0,1
0.4767,4651,4.293362363362512,73151.0,4.0,1
0.4613,2688,5.903866248693835,63246.0,3.0,1
0.409,1422,5.578973468881726,67128.0,3.0,1
0.4691,4114,4.080147612983706,62553.0,3.0,1
0.4311,920,2.3331062670299727,57510.0,2.0,0
0.4657,379,0.0,59750.0,2.0,0
0.4565,801,6.772673733804475,50375.0,1.0,0
0.4212,109,2.9787234042553195,62500.0,3.0,1
0.4138,808,0.9167303284950344,63827.0,3.0,1
0.4663,1816,8.43509724106739,44276.0,1.0,0
0.3573,95,2.072538860103627,53333.0,1.0,0
0.4626,5991,3.263105050930349,83108.0,4.0,1
0.4412,4713,4.808133814365366,62202.0,3.0,1
0.4285,5202,3.2572482722541922,82821.0,4.0,1
0.475,1071,3.08300395256917,55404.0,2.0,0
0.4027,393,9.179056237879767,66712.0,3.0,1
0.4233,835,8.398164771593857,34213.0,1.0,0
0.4195,4323,7.170467723231543,68962.0,3.0,1
0.423,333,10.084033613445378,54306.0,2.0,0
0.4612,1084,5.819295558958652,77857.0,4.0,1
0.4932,1466,1.213123793768955,63100.0,3.0,1
0.4294,1634,5.771212641703881,75337.0,4.0,1
0.4215,1590,6.103161397670549,51136.0,1.0,0
0.4768,2671,3.278334950932816,64464.0,3.0,1
0.4289,820,10.163934426229508,53393.0,1.0,0
0.4303,2473,5.074519779538858,69314.0,3.0,1
0.4792,5679,6.99230313795145,55380.0,2.0,0
0.4354,1116,3.513770180436847,61250.0,2.0,0
0.403,1389,4.3008522904008455,106479.0,4.0,1
0.4571,7775,4.335260115606936,61966.0,2.0,0
0.4814,363,5.383580080753701,64231.0,3.0,1
0.4809,4114,3.4326449963193983,63638.0,3.0,1
0.4789,4669,6.208281646878138,58840.0,2.0,0
0.5351,6622,6.630643831852733,59063.0,2.0,0
0.4662,360,6.434108527131784,61667.0,2.0,0
0.3979,1070,3.157172271791352,60556.0,2.0,0
0.4155,4164,9.16167198567759,58539.0,2.0,0
0.4351,354,5.052005943536404,67257.0,3.0,1
0.3876,1412,4.918959668300038,55870.0,2.0,0
0.4763,5712,3.869895536562203,52660.0,1.0,0
0.526,2078,9.437259699405802,49588.0,1.0,0
0.4541,525,8.085106382978724,54265.0,2.0,0
0.5136,3507,14.324939201380719,32060.0,1.0,0
0.4476,337,1.8442622950819672,64239.0,3.0,1
0.4691,4745,3.9735497445145778,57871.0,2.0,0
0.5354,628,10.629067245119305,38971.0,1.0,0
0.429,2036,7.45675084509843,65160.0,3.0,1
0.5051,1324,6.516325401217488,48839.0,1.0,0
0.42,1566,7.181385510312004,71267.0,3.0,1
0.4409,5625,4.459047172025346,59059.0,2.0,0
0.463,2280,4.723799690242643,85969.0,4.0,1
0.4496,3658,3.7201625190452003,93555.0,4.0,1
0.4762,2946,4.109975326048643,71799.0,4.0,1
0.4029,3835,4.244657332350774,79396.0,4.0,1
0.442,4114,3.7397945746642085,64171.0,3.0,1
0.4537,11307,5.422206872733552,70232.0,3.0,1
0.4622,6212,4.2642642642642645,68545.0,3.0,1
0.4128,2603,4.252269469660774,80051.0,4.0,1
0.4256,2390,4.487400759406282,49450.0,1.0,0
0.4368,5759,3.4586743799618436,78667.0,4.0,1
0.4287,743,3.2150969771099076,67467.0,3.0,1
0.3513,1516,6.296616408975959,77858.0,4.0,1
0.4384,11902,4.368846436443792,65605.0,3.0,1
0.4306,3355,2.9140648230746358,69420.0,3.0,1
0.4891,13178,1.8233995584988962,115565.0,4.0,1
0.3707,1323,5.472822040208489,59016.0,2.0,0
0.4358,408,3.4700315457413247,44167.0,1.0,0
0.4257,2423,0.0,63500.0,3.0,1
0.426,3148,1.0935364186682288,91250.0,4.0,1
0.3751,722,4.182776801405976,66689.0,3.0,1
0.3801,1296,4.20307948397836,66468.0,3.0,1
0.4389,4603,5.055410834915449,59257.0,2.0,0
0.4588,825,5.255941499085924,45763.0,1.0,0
